How much would you like to Participate?	Based on your current schedule, which classes would you attend?	Do you know any other programming languages?	If the answer to the last questions was yes. Which ones?	Have you ever taken a programming course before?	Are you a PhD student? If not, what are you?	If you are a student, how far are you into your degree?	What are your goals for the course? What do you want to get out of it?	Number of Classes He/She plans to attend
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		No	Yes	2nd year		7
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		Yes, but it did not teach python.	Yes	Third year	I want to be able to use basic programming tools for my research	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	Yes	C++, Sage, R, a bit of Python - have done along time ago, need refresher 	Yes, but it did not teach python.	Yes	1st year complete	Refresh what I know and learn some new ways of data analysis in a language that I am least familiar with	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		No	Undergraduate student completing honors thesis 	Undergraduate Senior 	I would like to learn how to organize and analyze collected behavioral data. 	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No	I've had very limited experience with R and Linux	Yes, but it did not teach python.	Yes	First year	I would love to gain familiarity with programming in general! Starting from the basics will be very helpful	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	Yes	R	No	Yes	1 year 	Learning some basic Python 	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	Yes	R	No	Yes	2nd year	Know basic python tools for biomedical research.	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		No	Postdoc		I'd like to have an idea of how to program with Python	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	Yes	R, sort of	Yes, but it did not teach python.	Yes	first year	I just want to learn the basics as a stepping stone for my future data analysis	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		No	Yes	Third year 	Learn some basics for programming to use for data analysis	5
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	Yes	some C and some r, not good at them	Yes, but it did not teach python.	Yes	defending end of AUgust	tinker with Python	7
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		No	Research Assistant		To better understand the appropriate statistical test to use for a data set and how to run that test. Also any coding education would be great because I don't know much.	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	Yes	Java	Yes, but it did not teach python.	Yes	3rd year	Basic familiarity with Python	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow)	No		No	Yes	5th year	Start learning the basics of python	4
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		No	Yes	1 year	I want to be able to use Python for basic data analysis	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	Yes	R	Yes, but it did not teach python.	Yes	2nd Year	Learn basics of python and know when to use it versus when to use R.	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		Yes, but it did not teach python.	Yes	1st year	Become more comfortable with programming, and applying these tools to understand and use bioinformatics pipelines. 	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		No	Yes	3rd year		8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		No	Yes	3rd Year	Gain familiarity with programming/Python and get over the initial learning curve so that I can begin exploring it on my own through online courses	8
I would like to register as an active participant (I want to come to class)	2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No	Experience with the very basics of R.	No	Yes	Finished first year.	Basics of programming (data structures, functions, loops, CS-style thinking, etc.) Python knowledge will be helpful, but mostly likely I'll be gleaning the general concepts for their application to R coding and potentially how to use python in conjunction with R for more advanced scripts.	7
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		No	Laboratory Technician		a basic understanding of computer programming 	7
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	Yes	Java	Yes, it also taught python.	High School Student, recommended by Professor		I want to develop an ability to code Python proficiently, and be able to apply it into any given prompts or applications with ease. I wish to add it to my repertoire of coding knowledge, and therefore make myself a more capable coder.	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		No	Yes	2 years	understand the basics	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		Yes, it also taught python.	Researcher & Lab Manager (staff)		start using programming in lab	8
I just want to participate in the Piazza forum	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	Yes	Very basic Java knowledge	Yes, it also taught python.	Yes	End of first year	I have learned Python before and have learned some of the logic in Python and Java. I would like to relearn Python and continue learning the logic of coding and how to apply it.	0
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	Yes	Matlab	No	Yes	1st year	Learn basics of python 	8
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		No	Yes	6 years	I want to understand the basics of programming in python and set myself up to be able to expand my skillset to analyzing next-gen sequencing data. 	6
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow)	Yes	R	Yes, but it did not teach python.	Postdoc		Better understanding of programming and using Python	5
I would like to register as an active participant (I want to come to class)	2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow)	Yes	Pascal (yes, I'm old), Fortran, IDL (did I mention that I'm old?)	Yes, but it did not teach python.	Core facility director			6
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	No		No	Yes	3rd year	Learn basic programming and how to apply it to data analysis/management in my field. 	7
I would like to register as an active participant (I want to come to class)	1 Introduction to programming, python, jupyter (6/25, 8-146AB Smilow), 2 Conditional (if/then…) (7/2, 8-146AB Smilow), 3 Loops & Custom Functions (7/9, 8-146AB Smilow), 4 Data structure: Lists (7/16, 8-146AB Smilow), 5 File writing & dictionaries (7/23, 8-146AB Smilow), 6 Modules & Introduction to Pandas DataFrames (7/30, 8-146AB Smilow), 7 Join & GroupBy in Pandas DataFrames (8/6, 8-146AB Smilow), 8 Visualizations & Awards (8/13, 8-146AB Smilow)	Yes	Java, some OCaml	Yes, but it did not teach python.	Undergraduate who plans to pursue a PhD	Rising senior (B.A. in Biology)	I'd really like to learn the python syntax and how to computationally analyze data using programming. I've taken a few intro computer science classes, but I really want to learn how to apply those skills and concepts towards genomic questions.	8
